"identifier"	"AA"	"AN"	"AT"	"IM"	"Noam"	"NT"	"OC"	"PA"
"3352"	"Diplospora cameronii C.T.White"	3	0	0	0	0	0	0	0
"3353"	"Diplospora dubia (Lindl.) Masam."	0	0	0	7	0	0	0	0
"3354"	"Diplospora ixoroides F.Muell."	5	0	0	0	0	0	0	0
"3355"	"Diplospora malaccense Hook.f."	0	0	0	1	0	0	0	0
"3356"	"Diplospora malaccensis Hook.f."	0	0	0	6	0	0	0	0
"3357"	"Diplospora minahassae Koord."	3	0	0	0	0	0	0	0
"3358"	"Diplospora sessilis Elmer"	0	0	0	1	0	0	0	0
"3359"	"Diplospora stylosa Ridl."	0	0	0	1	0	0	0	0
"3360"	"Diplospora tinagoensis (Elmer) S.J.Ali & Robbr."	0	0	0	3	0	0	0	0
"3361"	"Diplostigma K.M. Schumann in Engler, 1895"	0	0	15	0	0	0	0	0
"3362"	"Dirichletia glaucescens Hiern"	0	0	1	0	0	0	0	0
"3363"	"Dirichletia somaliensis (Puff) K?¡rehed & B.Bremer"	0	0	1	0	0	0	0	0
"3364"	"Dischidia acuminata Costantin"	0	0	0	8	0	0	0	0
"3365"	"Dischidia acutifolia Maingay ex Hook.f."	0	0	0	1	0	0	0	0
"3366"	"Dischidia bengalensis Colebr."	2	0	0	1	0	0	0	0
"3367"	"Dischidia chinensis Champ. ex Benth."	0	0	0	2	0	0	0	0
"3368"	"Dischidia cornuta Livsh."	0	0	0	1	0	0	0	0
"3369"	"Dischidia dohtii T.B.Tran & Livsh."	0	0	0	1	0	0	0	0
"3370"	"Dischidia formosana Maxim."	0	0	0	49	0	0	0	0
"3371"	"Dischidia griffithii Hook.f."	0	0	0	2	0	0	0	0
"3372"	"Dischidia hirsuta Decne."	10	0	0	4	0	0	0	0
"3373"	"Dischidia imbricata (Blume) Warb."	2	0	0	8	0	0	0	0
"3374"	"Dischidia kutcinensis Becc."	0	0	0	1	0	0	0	0
"3375"	"Dischidia lanceolata Decne."	0	0	0	1	0	0	0	0
"3376"	"Dischidia litoralis Schltr."	1	0	0	0	0	0	0	0
"3377"	"Dischidia major (Vahl) Merr."	7	0	0	2	0	0	0	0
"3378"	"Dischidia nummularia Blume"	13	0	0	7	0	0	0	0
"3379"	"Dischidia ovata Benth."	9	0	0	0	0	0	0	0
"3380"	"Dischidia R.Br."	18	0	0	21	0	0	0	0
"3381"	"Dischidia rafflesiana Wall."	0	0	0	2	0	0	0	0
"3382"	"Dischidia rimicola Kerr"	0	0	0	2	0	0	0	0
"3383"	"Dischidia tonkinensis Costantin"	0	0	0	2	0	0	0	0
"3384"	"Dischidia tricholoba Kerr"	0	0	0	1	0	0	0	0
"3385"	"Dischidiopsis ramosii Schltr."	0	0	0	1	0	0	0	0
"3386"	"Discospermum abnorme (Korth.) S.J.Ali & Robbr."	2	0	0	3	0	0	0	0
"3387"	"Discospermum Dalzell"	0	0	0	3	0	0	0	0
"3388"	"Ditassa acerifolia Lasser & Maguire"	0	0	0	0	0	1	0	0
"3389"	"Ditassa acerosa Mart."	0	0	0	0	0	10	0	0
"3390"	"Ditassa albonerva (R.W.Holm) Morillo"	0	0	0	0	0	7	0	0
"3391"	"Ditassa anderssonii Morillo"	0	0	0	0	0	3	0	0
"3392"	"Ditassa angustifolia Decne."	0	0	0	0	0	2	0	0
"3393"	"Ditassa anomala Mart."	0	0	0	0	0	7	0	0
"3394"	"Ditassa arianeae Fontella & E.A.Schwarz"	0	0	0	0	0	1	0	0
"3395"	"Ditassa aristata Benth. ex E.Fourn."	0	0	0	0	0	1	0	0
"3396"	"Ditassa auyantepuiensis (Stey.) Morillo"	0	0	0	0	0	5	0	0
"3397"	"Ditassa banksii Roem. & Schult."	0	0	0	0	0	2	0	0
"3398"	"Ditassa bicolor Decne."	0	0	0	0	0	3	0	0
"3399"	"Ditassa blanchetii Decne."	0	0	0	0	0	2	0	0
"3400"	"Ditassa bolivarensis (R.Holm) Morillo"	0	0	0	0	0	1	0	0
"3401"	"Ditassa buntingii (Morillo) Liede"	0	0	0	0	0	1	0	0
"3402"	"Ditassa burchellii Hook. & Arn."	0	0	0	0	0	4	0	0
"3403"	"Ditassa burchellii var. burchellii"	0	0	0	0	0	1	0	0
"3404"	"Ditassa capillaris E.Fourn."	0	0	0	0	0	14	0	0
"3405"	"Ditassa carnevalii (Morillo) Morillo"	0	0	0	0	0	7	0	0
"3406"	"Ditassa castellana Fontella & Valente"	0	0	0	0	0	5	0	0
"3407"	"Ditassa caucana Pittier"	0	0	0	0	0	8	0	0
"3408"	"Ditassa ciliata (Moldenke) Morillo"	0	0	0	0	0	1	0	0
"3409"	"Ditassa colellae (Morillo) Morillo"	0	0	0	0	0	2	0	0
"3410"	"Ditassa conceptionis Fontella"	0	0	0	0	0	2	0	0
"3411"	"Ditassa congesta E.Fourn."	0	0	0	0	0	1	0	0
"3412"	"Ditassa consanguinea Decne."	0	0	0	0	0	2	0	0
"3413"	"Ditassa cordata (Turcz.) Fontella"	0	0	0	0	0	4	0	0
"3414"	"Ditassa cordata var. cordata"	0	0	0	0	0	3	0	0
"3415"	"Ditassa cordeiroana Fontella"	0	0	0	0	0	6	0	0
"3416"	"Ditassa crassifolia Decne."	0	0	0	0	0	4	0	0
"3417"	"Ditassa dardanoi T.U.P.Konno & Wand."	0	0	0	0	0	2	0	0
"3418"	"Ditassa decussata Mart."	0	0	0	0	0	3	0	0
"3419"	"Ditassa ditassoides (Silveira) Fontella"	0	0	0	0	0	3	0	0
"3420"	"Ditassa endoleuca Schltr."	0	0	0	0	0	3	0	0
"3421"	"Ditassa ericoides Decne."	0	0	0	0	0	1	0	0
"3422"	"Ditassa eximia Decne."	0	0	0	0	0	2	0	0
"3423"	"Ditassa fasciculata E.Fourn."	0	0	0	0	0	3	0	0
"3424"	"Ditassa foldatsii Morillo"	0	0	0	0	0	1	0	0
"3425"	"Ditassa franciscoi (Morillo) Liede"	0	0	0	0	0	2	0	0
"3426"	"Ditassa gillespieae Morillo"	0	0	0	0	0	2	0	0
"3427"	"Ditassa glaziovii E.Fourn."	0	0	0	0	0	2	0	0
"3428"	"Ditassa gracilipes Schltr."	0	0	0	0	0	1	0	0
"3429"	"Ditassa gracilis Hand.-Mazz."	0	0	0	0	0	1	0	0
"3430"	"Ditassa hastata Decne."	0	0	0	0	0	11	0	0
"3431"	"Ditassa hispida (Vell.) Fontella"	0	0	0	0	0	6	0	0
"3432"	"Ditassa inconspicua Rapini"	0	0	0	0	0	1	0	0
"3433"	"Ditassa itambensis Rapini"	0	0	0	0	0	1	0	0
"3434"	"Ditassa jahnii (Morillo) Liede"	0	0	0	0	0	1	0	0
"3435"	"Ditassa julianii (Morillo) Morillo"	0	0	0	0	0	9	0	0
"3436"	"Ditassa lanceolata Decne."	0	0	0	0	0	1	0	0
"3437"	"Ditassa lenheirensis Silveira"	0	0	0	0	0	1	0	0
"3438"	"Ditassa leonii Fontella & T.U.P.Konno"	0	0	0	0	0	1	0	0
"3439"	"Ditassa liesneri Morillo"	0	0	0	0	0	3	0	0
"3440"	"Ditassa linearis Mart."	0	0	0	0	0	2	0	0
"3441"	"Ditassa lisae Morillo"	0	0	0	0	0	1	0	0
"3442"	"Ditassa longiloba Benth."	0	0	0	0	0	30	0	0
"3443"	"Ditassa longisepala (Hua) Fontella & E.A.Schwarz"	0	0	0	0	0	1	0	0
"3444"	"Ditassa magisteriana Rapini"	0	0	0	0	0	1	0	0
"3445"	"Ditassa maricaensis Fontella & E.A.Schwarz"	0	0	0	0	0	1	0	0
"3446"	"Ditassa mattogrossensis Malme"	0	0	0	0	0	1	0	0
"3447"	"Ditassa megapotamica Malme"	0	0	0	0	0	2	0	0
"3448"	"Ditassa micromeria Decne."	0	0	0	0	0	1	0	0
"3449"	"Ditassa mucronata Mart."	0	0	0	0	0	4	0	0
"3450"	"Ditassa multinervia (Morillo) Morillo"	0	0	0	0	0	1	0	0
"3451"	"Ditassa nigrescens (E.Fourn.) W.D.Stevens"	0	0	0	0	0	15	0	0
"3452"	"Ditassa nitida E.Fourn."	0	0	0	0	0	3	0	0
"3453"	"Ditassa obcordata Mart."	0	0	0	0	0	5	0	0
"3454"	"Ditassa oliva-estevae Morillo"	0	0	0	0	0	4	0	0
"3455"	"Ditassa ottohuberi Morillo"	0	0	0	0	0	1	0	0
"3456"	"Ditassa oxyphylla Turcz."	0	0	0	0	0	9	0	0
"3457"	"Ditassa paranensis Malme"	0	0	0	0	0	1	0	0
"3458"	"Ditassa peruviana Morillo"	0	0	0	0	0	1	0	0
"3459"	"Ditassa pohliana E.Fourn."	0	0	0	0	0	3	0	0
"3460"	"Ditassa R.Br."	0	0	0	0	0	109	0	0
"3461"	"Ditassa racemosa Britton"	0	0	0	0	0	3	0	0
"3462"	"Ditassa retusa Mart."	0	0	0	0	0	13	0	0
"3463"	"Ditassa rotundifolia Baill."	0	0	0	0	0	2	0	0
"3464"	"Ditassa sobradoi (Morillo) Liede"	0	0	0	0	0	1	0	0
"3465"	"Ditassa succedanea Rapini"	0	0	0	0	0	2	0	0
"3466"	"Ditassa taxifolia Decne."	0	0	0	0	0	5	0	0
"3467"	"Ditassa tomentosa (Decne.) Fontella"	0	0	0	0	0	3	0	0
"3468"	"Ditassa virgata E.Fourn."	0	0	0	0	0	4	0	0
"3469"	"Djaloniella ypsilostyla P.Taylor"	0	0	5	0	0	0	0	0
"3470"	"Dolianthus fimbristipularis (P.Royen) A.P.Davis"	1	0	0	0	0	0	0	0
"3471"	"Dolianthus kairoi A.P.Davis"	2	0	0	0	0	0	0	0
"3472"	"Dolianthus vaccinioides C.H.Wright"	1	0	0	0	0	0	0	0
"3473"	"Dolichodelphys chlorocrater K.Schum. & K.Krause"	0	0	0	0	0	37	0	0
"3474"	"Dolicholobium aneityense Guillaumin"	2	0	0	0	0	0	0	0
"3475"	"Dolicholobium forbesii Wernham"	1	0	0	0	0	0	0	0
"3476"	"Dolicholobium linearilobum M.E.Jansen"	7	0	0	0	0	0	0	0
"3477"	"Dolicholobium moluccense subsp. fusiformis"	1	0	0	0	0	0	0	0
"3478"	"Dolicholobium nakiki M.E.Jansen"	2	0	0	0	0	0	0	0
"3479"	"Dolicholobium parviflorum M.E.Jansen"	2	0	0	0	0	0	0	0
"3480"	"Dolicholobium ridsdalei M.E.Jansen"	7	0	0	0	0	0	0	0
"3481"	"Dolichometra leucantha K.Schum."	0	0	10	0	0	0	0	0
"3482"	"Dolichopentas decora (S.Moore) K?¡rehed & B.Bremer"	0	0	6	0	0	0	0	0
"3483"	"Dolichopentas longiflora (Oliv.) K?¡rehed & B.Bremer"	0	0	7	0	0	0	0	0
"3484"	"Dregea E.H.F. Meyer, 1838"	0	0	116	17	0	0	0	3
"3485"	"Dregea floribunda E. Mey."	0	0	2	0	0	0	0	0
"3486"	"Dregea volubilis (L. f.) Benth., 1883"	0	0	0	7	0	0	0	0
"3487"	"Dressleriopsis panamensis Dwyer"	0	0	0	0	0	1	0	0
"3488"	"Duggena hirsuta (Jacq.) Britton ex R.O.Williams & Cheesman"	0	0	0	0	0	1	0	0
"3489"	"Duggena ovatifolia (Donn.Sm.) Standl."	0	0	0	0	0	1	0	0
"3490"	"Duidania montana Standl."	0	0	0	0	0	9	0	0
"3491"	"Dukea blumii Dwyer"	0	0	0	0	0	1	0	0
"3492"	"Dukea panamensis Dwyer"	0	0	0	0	0	3	0	0
"3493"	"Dunalia K.P.J. Sprengel, 1815"	0	0	0	0	0	3	0	0
"3494"	"Duperrea pavettifolia (Kurz) Pit."	0	0	0	2	0	0	0	0
"3495"	"Duperrea scabrida Craib"	0	0	0	1	0	0	0	0
"3496"	"Duplipetala pentanthera (C.B.Clarke) Thiv"	0	0	0	2	0	0	0	0
"3497"	"Duroia aquatica (Aubl.) Bremek."	0	0	0	0	0	62	0	0
"3498"	"Duroia bolivarensis Steyerm."	0	0	0	0	0	9	0	0
"3499"	"Duroia costaricensis Standl."	0	0	0	0	0	124	0	0
"3500"	"Duroia duckei Huber"	0	0	0	0	0	10	0	0
"3501"	"Duroia eriophila L.f."	0	0	0	0	0	3	0	0
"3502"	"Duroia eriopila L.f."	0	0	0	0	0	135	0	0
"3503"	"Duroia eriopila var. eriopila"	0	0	0	0	0	6	0	0
"3504"	"Duroia eriopila var. tafelbergensis"	0	0	0	0	0	1	0	0
"3505"	"Duroia fusifera Spruce ex K.Schum."	0	0	0	0	0	52	0	0
"3506"	"Duroia genipoides Spruce ex K.Schum."	0	0	0	0	0	39	0	0
"3507"	"Duroia gransabanensis Steyerm."	0	0	0	0	0	3	0	0
"3508"	"Duroia hirsuta (Poepp.) K.Schum."	0	0	0	0	0	361	0	0
"3509"	"Duroia kotchubaeoides Steyerm."	0	0	0	0	0	2	0	0
"3510"	"Duroia L.f."	0	0	0	0	0	79	0	0
"3511"	"Duroia longiflora Ducke"	0	0	0	0	0	35	0	0
"3512"	"Duroia longifolia (Poepp.) K.Schum."	0	0	0	0	0	2	0	0
"3513"	"Duroia macrophylla Huber"	0	0	0	0	0	8	0	0
"3514"	"Duroia maguirei Steyerm."	0	0	0	0	0	11	0	0
"3515"	"Duroia micrantha (Ladbr.) Zarucchi & J.H.Kirkbr."	0	0	0	0	0	55	0	0
"3516"	"Duroia nitida Steyerm."	0	0	0	0	0	2	0	0
"3517"	"Duroia paraensis Ducke"	0	0	0	0	0	2	0	0
"3518"	"Duroia paruensis Steyerm."	0	0	0	0	0	1	0	0
"3519"	"Duroia petiolaris Spruce ex K.Schum."	0	0	0	0	0	2	0	0
"3520"	"Duroia prancei Steyerm."	0	0	0	0	0	1	0	0
"3521"	"Duroia retrorsipila Steyerm."	0	0	0	0	0	1	0	0
"3522"	"Duroia saccifera (Mart. ex Schult. & Schult.f.) K.Schum."	0	0	0	0	0	39	0	0
"3523"	"Duroia sancti-ciprianii Devia Perss. & C.M.Taylor"	0	0	0	0	0	5	0	0
"3524"	"Duroia soejartoi D.R.Simpson"	0	0	0	0	0	7	0	0
"3525"	"Duroia sprucei Rusby"	0	0	0	0	0	8	0	0
"3526"	"Duroia stenophylla Standl."	0	0	0	0	0	4	0	0
"3527"	"Duroia triflora Ducke"	0	0	0	0	0	8	0	0
"3528"	"Duroia utleyorum Dwyer"	0	0	0	0	0	1	0	0
"3529"	"Duroia velutina Hook.f. ex K.Schum."	0	0	0	0	0	6	0	0
"3530"	"Durringtonia paludosa R.J.F.Hend. & Guymer"	23	0	0	0	0	0	0	0
"3531"	"Duvalia A.H. Haworth, 1812"	0	0	126	0	0	0	0	0
"3532"	"Duvaliaranthus ??albostriatus Bruyns"	0	0	1	0	0	0	0	0
"3533"	"Dyera costulata (Miq.) Hook. f."	0	0	0	4	0	0	0	0
"3534"	"Ecdysanthera rosea Hook. & Arn."	0	0	0	86	0	0	0	0
"3535"	"Ecdysanthera utilis Hayata & Kawak."	0	0	0	18	0	0	0	0
"3536"	"Echidnopsis dammanniana Sprenger"	0	0	1	0	0	0	0	0
"3537"	"Echidnopsis globosa Thulin & Hjertson"	0	0	2	0	0	0	0	0
"3538"	"Echidnopsis Hook.f."	0	0	25	0	0	0	0	0
"3539"	"Echidnopsis mijerteina Lavranos"	0	0	1	0	0	0	0	0
"3540"	"Echidnopsis montana (R.A.Dyer & E.A.Bruce) P.R.O.Bally"	0	0	1	0	0	0	0	0
"3541"	"Echidnopsis planiflora P.R.O.Bally"	0	0	1	0	0	0	0	0
"3542"	"Echidnopsis socotrana Lavranos"	0	0	1	0	0	0	0	0
"3543"	"Echites agglutinata Jacq."	0	0	0	0	0	10	0	0
"3544"	"Echites agglutinatus Jacq."	0	0	0	0	0	2	0	0
"3545"	"Echites bolivianus Britton ex Rusby"	0	0	0	0	0	1	0	0
"3546"	"Echites bracteosus Rusby"	0	0	0	0	0	1	0	0
"3547"	"Echites candelarianus J.F.Morales"	0	0	0	0	0	8	0	0
"3548"	"Echites darienensis J.F.Morales"	0	0	0	0	0	1	0	0
"3549"	"Echites eggersii Markgr."	0	0	0	0	0	1	0	0
"3550"	"Echites P. Br."	0	0	0	0	0	4	0	0
"3551"	"Echites puntarenensis J.F.Morales"	0	0	0	0	0	9	0	0
"3552"	"Echites rigidus Rusby"	0	0	0	0	0	1	0	0
"3553"	"Echites turbinatus Woodson"	0	0	0	0	0	3	0	0
"3554"	"Echites turriger Woodson"	0	0	0	0	0	1	0	0
"3555"	"Echites tuxtlensis Standl."	0	0	0	0	0	20	0	0
"3556"	"Echites umbellata Jacq."	0	0	0	0	0	1	0	0
"3557"	"Echites umbellatus Jacq."	0	0	0	0	0	47	0	0
"3558"	"Echites woodsonianus Monach."	0	0	0	0	0	30	0	0
"3559"	"Echites yucatanensis Millsp. ex Standl."	0	0	0	0	0	118	0	0
"3560"	"Ecpoma apocynaceum K.Schum."	0	0	9	0	0	0	0	0
"3561"	"Ecpoma cauliflora (Hiern) N.Hall?ó"	0	0	14	0	0	0	0	0
"3562"	"Ecpoma geantha (Hiern) N.Hall?ó"	0	0	2	0	0	0	0	0
"3563"	"Ecpoma gigantostipula (K.Schum.) N.Hall?ó"	0	0	12	0	0	0	0	0
"3564"	"Ecpoma hierniana (Wernham) N.Hall?ó & F.Hall?ó"	0	0	56	0	0	0	0	0
"3565"	"Ecpoma K.Schum."	0	0	45	0	0	0	0	0
"3566"	"Ectadiopsis oblongifolia (Meisn.) Schltr."	0	0	72	0	0	0	0	0
"3567"	"Ectadium latifolium N.E.Br."	0	0	20	0	0	0	0	0
"3568"	"Ectadium rotundifolium (H.Huber) Venter & J.D.S.Kotze"	0	0	2	0	0	0	0	0
"3569"	"Ectadium virgatum E.Mey."	0	0	19	0	0	0	0	0
"3570"	"Edithcolea grandis N.E. Br."	0	0	3	0	0	0	0	0
"3571"	"Elaeagia arborea D.A.Simpson"	0	0	0	0	0	1	0	0
"3572"	"Elaeagia asperula Standl. ex Steyerm."	0	0	0	0	0	23	0	0
"3573"	"Elaeagia auriculata Hemsl."	0	0	0	0	0	86	0	0
"3574"	"Elaeagia chiriquina C.M.Taylor"	0	0	0	0	0	1	0	0
"3575"	"Elaeagia ecuadorensis Steyerm."	0	0	0	0	0	6	0	0
"3576"	"Elaeagia glossostipula C.M.Taylor"	0	0	0	0	0	17	0	0
"3577"	"Elaeagia grandis (Rusby) Rusby"	0	0	0	0	0	1	0	0
"3578"	"Elaeagia karstenii Standl."	0	0	0	0	0	27	0	0
"3579"	"Elaeagia karstenii var. hispidula"	0	0	0	0	0	1	0	0
"3580"	"Elaeagia laxiflora Standl. & Steyerm."	0	0	0	0	0	8	0	0
"3581"	"Elaeagia magniflora Steyerm."	0	0	0	0	0	3	0	0
"3582"	"Elaeagia maguirei Standl."	0	0	0	0	0	12	0	0
"3583"	"Elaeagia maguirei var. maguirei"	0	0	0	0	0	1	0	0
"3584"	"Elaeagia mariae Wedd."	0	0	0	0	0	224	0	0
"3585"	"Elaeagia microcarpa Steyerm."	0	0	0	0	0	4	0	0
"3586"	"Elaeagia myriantha (Standl.) C.M.Taylor & Hammel"	0	0	0	0	0	65	0	0
"3587"	"Elaeagia nitidifolia Dwyer"	0	0	0	0	0	16	0	0
"3588"	"Elaeagia obovata Rusby"	0	0	0	0	0	52	0	0
"3589"	"Elaeagia pastoensis f. acuminata"	0	0	0	0	0	3	0	0
"3590"	"Elaeagia pastoensis L.E.Mora"	0	0	0	0	0	82	0	0
"3591"	"Elaeagia ruiz-teranii Steyerm."	0	0	0	0	0	6	0	0
"3592"	"Elaeagia utilis (Goudot) Wedd."	0	0	0	0	0	140	0	0
"3593"	"Elaeagia uxpanapensis Lorence"	0	0	0	0	0	7	0	0
"3594"	"Elaeagia Wedd."	0	0	0	0	0	163	0	0
"3595"	"Elytropus chilensis M??ll.Arg."	0	0	0	0	0	2	0	0
"3596"	"Emicocarpus fissifolius K.Schum. & Schltr."	0	0	2	0	0	0	0	0
"3597"	"Emmenopterys henryi Oliv."	0	0	0	0	1	0	0	2
"3598"	"Emmeorhiza Pohl ex Endl."	0	0	0	0	0	8	0	0
"3599"	"Emmeorhiza umbellata (Spreng.) K.Schum."	0	0	0	0	0	202	0	0
"3600"	"Emmeorhiza umbellata subsp. septentrionalis"	0	0	0	0	0	6	0	0
"3601"	"Emmeorhiza umbellata var. pubens"	0	0	0	0	0	2	0	0
"3602"	"Emplectanthus cordatus N.E.Br."	0	0	1	0	0	0	0	0
"3603"	"Emplectanthus gerrardii N.E.Br."	0	0	1	0	0	0	0	0
"3604"	"Empogona acidophylla (Robbr.) Tosh & Robbr."	0	0	9	0	0	0	0	0
"3605"	"Empogona bequaertii (De Wild.) Tosh & Robbr."	0	0	2	0	0	0	0	0
"3606"	"Empogona breteleri (Robbr.) Tosh & Robbr."	0	0	1	0	0	0	0	0
"3607"	"Empogona cacondensis (Hiern) Tosh & Robbr."	0	0	2	0	0	0	0	0
"3608"	"Empogona coriacea (Sond.) Tosh & Robbr."	0	0	1	0	0	0	0	0
"3609"	"Empogona crepiniana (De Wild. & T.Durand) Tosh & Robbr."	0	0	4	0	0	0	0	0
"3610"	"Empogona discolor (Brenan) Tosh & Robbr."	0	0	3	0	0	0	0	0
"3611"	"Empogona glabra (K.Schum.) Tosh & Robbr."	0	0	1	0	0	0	0	0
"3612"	"Empogona gossweileri (S.Moore) Tosh & Robbr."	0	0	6	0	0	0	0	0
"3613"	"Empogona kirkii subsp. junodii"	0	0	2	0	0	0	0	0
"3614"	"Empogona macrophylla (K.Schum.) Tosh & Robbr."	0	0	6	0	0	0	0	0
"3615"	"Empogona ngalaensis (Robbr.) Tosh & Robbr."	0	0	1	0	0	0	0	0
"3616"	"Empogona ovalifolia (Hiern) Tosh & Robbr."	0	0	16	0	0	0	0	0
"3617"	"Empogona ovalifolia var. glabrata"	0	0	10	0	0	0	0	0
"3618"	"Empogona ovalifolia var. ovalifolia"	0	0	28	0	0	0	0	0
"3619"	"Empogona ovalifolia var. taylorii"	0	0	1	0	0	0	0	0
"3620"	"Empogona ruandensis (Bremek.) Tosh & Robbr."	0	0	12	0	0	0	0	0
"3621"	"Empogona talboltii (Wernham) Tosh & Robbr."	0	0	6	0	0	0	0	0
"3622"	"Empogona welwitschii (K.Schum.) Tosh & Robbr."	0	0	4	0	0	0	0	0
"3623"	"Enicostema axillare (Lam.) A. Raynal"	0	0	6	0	0	0	0	0
"3624"	"Enicostema axillare subsp. axillare"	0	0	103	0	0	0	0	0
"3625"	"Enicostema axillare subsp. latilobum (N. E. Br.) A. Raynal"	0	0	3	0	0	0	0	0
"3626"	"Enicostema elizabethae Veldkamp"	0	0	26	0	0	0	0	0
"3627"	"Enicostema hyssopifolium (Willd.) Verdoorn"	1	0	0	0	0	0	0	0
"3628"	"Enicostema latiloba N.E.Br."	0	0	2	0	0	0	0	0
"3629"	"Enicostema verticillatum (L.) Engl. ex Gilg"	0	0	0	0	0	46	0	0
"3630"	"Enterospermum Hiern"	0	0	16	0	0	0	0	0
"3631"	"Ephippiocarpa orientalis Markgr."	0	0	18	0	0	0	0	0
"3632"	"Epigynum auritum (Schneid.) Tsiang & P.T.Li"	0	0	0	1	0	0	0	0
"3633"	"Epigynum cochinchinensis (Pierre) D.J.Middleton"	0	0	0	3	0	0	0	0
"3634"	"Epigynum griffithianum Wight"	0	0	0	5	0	0	0	0
"3635"	"Epistemma assianum D.V.Field & J.B.Hall"	0	0	5	0	0	0	0	0
"3636"	"Epistemma D.V.Field & J.B.Hall"	0	0	1	0	0	0	0	0
"3637"	"Epistemma rupestre H.Huber"	0	0	26	0	0	0	0	0
"3638"	"Epitaberna myrmoecia K.Schum."	0	0	1	0	0	0	0	0
"3639"	"Ericala pedicellata D.Don"	0	0	0	1	0	0	0	0
"3640"	"Eriosemopsis subanisophylla Robyns"	0	0	3	0	0	0	0	0
"3641"	"Erithalis fruticosa L."	0	0	0	0	2	40	0	0
"3642"	"Erithalis harrisii Urb."	0	0	0	0	0	1	0	0
"3643"	"Erithalis odorifera Jacq."	0	0	0	0	0	1	0	0
"3644"	"Ernodea angusta Small"	0	0	0	0	0	1	0	0
"3645"	"Ernodea litoralis Sw."	0	0	0	0	0	1	0	0
"3646"	"Ernodea littoralis Sw."	0	0	0	0	1	40	0	0
"3647"	"Ervatamia angustisepala (Benth.) Domin"	1	0	0	0	0	0	0	0
"3648"	"Ervatamia coronaria (Jacq.) Stapf"	0	0	0	0	0	6	0	0
"3649"	"Ervatamia montensis S.Moore"	1	0	0	0	0	0	0	0
"3650"	"Ervatamia obtusiuscula Markgr."	3	0	0	0	0	0	0	0
"3651"	"Ervatamia orientalis (R.Br.) Domin"	4	0	0	0	0	0	1	0
"3652"	"Ervatamia pubescens (R.Br.) Domin"	1	0	0	0	0	0	0	0
"3653"	"Erythraea barrelieri Duf."	0	0	0	0	0	0	0	1
"3654"	"Erythraea centaurium auct. non (L.) Borkh."	0	0	0	0	0	1	0	0
"3655"	"Erythraea gypsicola Boiss. & Reut."	0	0	0	0	0	0	0	1
"3656"	"Erythraea latifolia Sm."	0	0	0	0	0	0	0	1
"3657"	"Euclinia longiflora Salisb."	0	0	130	0	0	0	1	0
"3658"	"Euclinia Salisb."	0	0	15	0	0	0	0	0
"3659"	"Euclinia squamifera (R.D.Good) Keay"	0	0	5	0	0	0	0	0
"3660"	"Euclinia suavissima (Homolle ex Cavaco) J.-F.Leroy"	0	0	8	0	0	0	0	0
"3661"	"Eustoma andrewsii A.Nelson"	0	0	0	0	1	0	0	0
"3662"	"Eustoma exaltatum (L.) Salisb. ex G. Don"	0	0	0	0	60	66	0	0
"3663"	"Eustoma exaltatum f. albiflorum Benke"	0	0	0	0	0	1	0	0
"3664"	"Eustoma grandiflorum (Raf.) Shinners"	0	0	0	0	2	0	0	0
"3665"	"Eustoma R.A. Salisbury, 1806"	0	0	0	0	1	1	0	0
"3666"	"Eustoma silenifolium Salisb."	0	0	0	0	1	0	0	0
"3667"	"Everistia vacciniifolia (F.Muell.) S.T.Reynolds & R.J.F.Hend."	9	0	0	0	0	0	0	0
"3668"	"Everistia vacciniifolia f. crassa"	1	0	0	0	0	0	0	0
"3669"	"Everistia vacciniifolia var. nervosa"	1	0	0	0	0	0	0	0
"3670"	"Exaculum pusillum Caruel"	0	0	0	0	0	0	0	50
"3671"	"Exacum affine Balf. f."	0	0	3	0	0	1	0	0
"3672"	"Exacum amplexicaule Klack."	0	0	1	0	0	0	0	0
"3673"	"Exacum anisopterum Klack."	0	0	3	0	0	0	0	0
"3674"	"Exacum appendiculatum Klack."	0	0	4	0	0	0	0	0
"3675"	"Exacum arabicum Thulin"	0	0	2	0	0	0	0	0
"3676"	"Exacum axillare Thwaites"	0	0	0	2	0	0	0	0
"3677"	"Exacum bulbilliferum Baker"	0	0	5	0	0	0	0	0
"3678"	"Exacum caeruleum Balf. f."	0	0	1	0	0	0	0	0
"3679"	"Exacum conglomeratum Klack."	0	0	2	0	0	0	0	0
"3680"	"Exacum decapterum Klack."	0	0	4	0	0	0	0	0
"3681"	"Exacum dipterum Klack."	0	0	9	0	0	0	0	0
"3682"	"Exacum divaricatum Schinz"	0	0	4	0	0	0	0	0
"3683"	"Exacum divaricatum subsp. divaricatum"	0	0	4	0	0	0	0	0
"3684"	"Exacum divaricatum subsp. latifolium (Klackenberg) Klack."	0	0	12	0	0	0	0	0
"3685"	"Exacum dolichantherum Klack."	0	0	4	0	0	0	0	0
"3686"	"Exacum emirnense Schinz"	0	0	5	0	0	0	0	0
"3687"	"Exacum exiguum Klack."	0	0	25	0	0	0	0	0
"3688"	"Exacum fruticosum Humbert"	0	0	13	0	0	0	0	0
"3689"	"Exacum giganteum Klack."	0	0	6	0	0	0	0	0
"3690"	"Exacum gracile Klack."	0	0	4	0	0	0	0	0
"3691"	"Exacum hoffmannii Schinz"	0	0	4	0	0	0	0	0
