Data Publisher	Dataset	Dataset Rights	Scientific name	Scientific name (interpreted)	Latitude	Longitude	GBIF portal url	
Missouri Botanical Garden	Missouri Botanical Garden		Matelea Aubl.	Matelea Aubl.			http://data.gbif.org/occurrences/320950602
Missouri Botanical Garden	Missouri Botanical Garden		Matelea congesta (Decne.) Woodson	Matelea congesta (Decne.) Woodson			http://data.gbif.org/occurrences/320951539
Missouri Botanical Garden	Missouri Botanical Garden		Matelea chrysantha (Greenm.) Woodson	Matelea chrysantha (Greenm.) Woodson			http://data.gbif.org/occurrences/320951678
Missouri Botanical Garden	Missouri Botanical Garden		Matelea cordifolia (A. Gray) Woodson	Matelea cordifolia (A. Gray) Woodson			http://data.gbif.org/occurrences/320951806
Missouri Botanical Garden	Missouri Botanical Garden		Matelea denticulata (Vahl) Fontella & E.A. Schwarz	Matelea denticulata (Vahl) Fontella & E.A. Schwarz			http://data.gbif.org/occurrences/320951821
Missouri Botanical Garden	Missouri Botanical Garden		Matelea decipiens (Alexander) Woodson	Matelea decipiens (Alexander) Woodson			http://data.gbif.org/occurrences/320951949
Missouri Botanical Garden	Missouri Botanical Garden		Matelea reticulata (Engelm. ex A. Gray) Woodson	Matelea reticulata (Engelm. ex A. Gray) Woodson			http://data.gbif.org/occurrences/320952626
Missouri Botanical Garden	Missouri Botanical Garden		Mesechites trifidus (Jacq.) Müll. Arg.	Mesechites trifidus (Jacq.) Müll. Arg.			http://data.gbif.org/occurrences/321004455
Missouri Botanical Garden	Missouri Botanical Garden		Metastelma grisebachianum Schltr.	Metastelma grisebachianum Schltr.			http://data.gbif.org/occurrences/321006402
Missouri Botanical Garden	Missouri Botanical Garden		Metastelma arizonicum A. Gray	Metastelma arizonicum A. Gray			http://data.gbif.org/occurrences/321006530
Missouri Botanical Garden	Missouri Botanical Garden		Metastelma schlechtendalii Decne.	Metastelma schlechtendalii Decne.			http://data.gbif.org/occurrences/321006801
Missouri Botanical Garden	Missouri Botanical Garden		Metastelma virgatum (Poir.) Decne.	Metastelma virgatum (Poir.) Decne.			http://data.gbif.org/occurrences/321007211
Missouri Botanical Garden	Missouri Botanical Garden		Morrenia odorata (Hook. & Arn.) Lindl.	Morrenia odorata (Hook. & Arn.) Lindl.			http://data.gbif.org/occurrences/321103340
Missouri Botanical Garden	Missouri Botanical Garden		Odontadenia nitida (Vahl) Müll. Arg.	Odontadenia nitida (Vahl) Müll. Arg.			http://data.gbif.org/occurrences/321210570
Missouri Botanical Garden	Missouri Botanical Garden		Odontadenia perrottetii (A. DC.) Woodson	Odontadenia perrottetii (A. DC.) Woodson			http://data.gbif.org/occurrences/321210841
Missouri Botanical Garden	Missouri Botanical Garden		Odontadenia lutea (Vell.) Markgr.	Odontadenia lutea (Vell.) Markgr.			http://data.gbif.org/occurrences/321210980
Missouri Botanical Garden	Missouri Botanical Garden		Odontadenia stemmadeniifolia Woodson	Odontadenia stemmadeniifolia Woodson			http://data.gbif.org/occurrences/321211518
