identifier	XCOOR	YCOOR
N_Andes	-73.19038541	4.460116553
N_Andes	-73.57663664	4.138240533
N_Andes	-73.86632505	3.78417691
N_Andes	-73.86632505	3.558863696
N_Andes	-73.86632505	3.30136288
N_Andes	-73.70538704	2.657610839
N_Andes	-73.67319944	2.174796809
N_Andes	-73.96288786	2.078234003
N_Andes	-73.89851266	2.528860431
N_Andes	-74.12382587	2.915111656
N_Andes	-74.31695148	3.011674462
N_Andes	-74.47788949	2.754173645
N_Andes	-74.5100771	2.303547217
N_Andes	-74.76757791	2.174796809
N_Andes	-74.79976551	1.756357983
N_Andes	-74.96070352	1.852920789
N_Andes	-75.15382914	1.949483595
N_Andes	-75.41132995	1.627607574
N_Andes	-75.76539357	1.40229436
N_Andes	-76.02289439	1.305731554
N_Andes	-76.2482076	1.016043136
N_Andes	-76.57008363	1.048230738
N_Andes	-76.89195965	0.436666299
N_Andes	-77.27821087	0.404478697
N_Andes	-77.37477368	0.372291095
N_Andes	-77.34258607	0.179165483
N_Andes	-77.34258607	-0.239273343
N_Andes	-77.37477368	-0.754274976
N_Andes	-77.56789929	-0.915212986
N_Andes	-77.8254001	-0.915212986
N_Andes	-77.8254001	-1.108338598
N_Andes	-77.66446209	-1.30146421
N_Andes	-77.66446209	-1.591152628
N_Andes	-77.53571169	-1.945216251
N_Andes	-77.60008689	-2.460217883
N_Andes	-77.8254001	-2.621155893
N_Andes	-77.92196291	-3.03959472
N_Andes	-77.85758771	-3.84428477
N_Andes	-78.24383893	-4.198348393
N_Andes	-78.40477694	-4.874288035
N_Andes	-78.08290092	-5.9042913
N_Andes	-79.82103143	-6.451480534
N_Andes	-79.82103143	-5.775540892
N_Andes	-79.88540663	-5.324914464
N_Andes	-79.94978184	-4.648974821
N_Andes	-79.88540663	-4.230535995
N_Andes	-79.78884383	-3.779909566
N_Andes	-79.75665623	-3.393658342
N_Andes	-79.62790582	-2.878656709
N_Andes	-79.4025926	-2.524593087
N_Andes	-79.24165459	-2.299279873
N_Andes	-79.24165459	-2.041779057
N_Andes	-79.24165459	-1.848653445
