SPECIES	XCOOR	YCOOR
Species_4	-44.35	-9.06666667
Species_4	-45.689071	-10.565847
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_5	-42.7333333	-19.7
Species_6	-41.7677596	-13.15
Species_6	-41.783	-13.516
Species_6	-42.486612	-14.0554645
Species_6	-42.486612	-14.0554645
Species_6	-42.916	-16.541
Species_6	-42.9666667	-16.6
Species_6	-42.9666667	-16.6
Species_6	-42.9666667	-16.6
Species_6	-43.6774044	-19.1081694
Species_6	-43.7223497	-18.4231421
Species_6	-43.844481	-18.9797814
Species_6	-43.88333333	-19.6333333
Species_6	-43.88333333	-19.6333333
Species_6	-43.8885246	-19.9147541
Species_6	-43.9	-19.9
Species_6	-43.9382246	-19.915847
Species_6	-43.9385246	-19.915847
Species_6	-44.2	-17.75
Species_6	-44.4	-19.283
Species_6	-44.4	-19.283
Species_6	-44.4	-19.283
Species_6	-45.0597222	-11.0463889
Species_6	-46.105082	-13.3105464
Species_6	-46.13333	-18
Species_6	-46.3909836	-13.2713115
Species_6	-47.1	-22.9
Species_6	-47.116	-22.183
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-20.3516393
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.146694	-22.2656284
Species_6	-47.3972678	-22.1860656
Species_6	-47.4254098	-21.9937158
Species_6	-47.7466393	-14.1174863
Species_6	-47.766	-15.733
Species_6	-47.8224044	-22.2459016
Species_6	-47.8688525	-15.9510929
Species_6	-47.8696721	-15.7644809
Species_6	-47.910929	-15.8601093
Species_6	-47.929235	-15.7800546
Species_6	-47.929235	-15.7800546
Species_6	-47.929235	-15.7800546
Species_6	-47.929235	-15.7800546
Species_6	-47.929235	-15.7800546
Species_6	-47.9431694	-15.729235
Species_6	-47.95	-15.783
Species_6	-47.9538251	-15.8974317
Species_6	-47.9666667	-15.8
Species_6	-47.9934426	-15.6808743
Species_6	-48	-17
Species_6	-48.05	-14.2
Species_6	-48.133	-21.767
Species_6	-48.1704918	-21.7956284
Species_6	-48.2625683	-18.9013661
Species_6	-48.2625683	-18.9013661
Species_6	-48.2625683	-18.9040984
Species_6	-48.416	-22.75
Species_6	-48.967	-15.783
Species_6	-48.967	-15.783
Species_6	-49.2398907	-22.8773224
Species_6	-49.2398907	-22.8773224
Species_6	-49.4800546	-19.520765
Species_6	-49.8307923	-18.1956831
Species_6	-50.184153	-16.0715847
Species_6	-51.217	-23.3
Species_6	-51.4262295	-13.2713115
Species_6	-51.8703552	-17.8786885
Species_6	-54.95	-15.983
Species_6	-55.7393443	-15.4442623
Species_6	-61.05	-18.31666667
Species_6	-61.05	-18.31666667
Species_7	-62.283	5.933
Species_7	-62.782	6.252
Species_7	-62.783	6.25
Species_7	-62.85	6.25
Species_7	-62.916	7.75
Species_7	-62.983	7.683
Species_7	-63.3	6.266
Species_7	-63.3	6.266
Species_7	-63.31	5.45
Species_7	-63.573	6.297
Species_7	-63.583	10.3
Species_7	-63.794	10.097
Species_7	-64.4	10.266
Species_7	-64.916	7
Species_7	-64.9166667	7
Species_7	-65.083	7.25
Species_8	-37.1275956	-7.86270492
Species_8	-39.1218579	-12.652459
Species_8	-40	-7.33
Species_8	-40.9	-11.466
Species_8	-40.995916	-11.620765
Species_8	-41.0095628	-11.3508197
Species_8	-41.05	-11.55
Species_8	-41.207377	-11.5909836
Species_8	-41.2166667	-10.7166667
Species_8	-41.283	-11.633
Species_8	-41.283	-11.633
Species_8	-41.3166667	-10.3666667
Species_8	-41.364612	-10.4480273
Species_8	-41.3666667	-13
Species_8	-41.367	-12.817
Species_8	-41.3918033	-12.5565574
Species_8	-41.4086885	-10.4079235
Species_8	-41.4330601	-13.0224317
Species_8	-41.4330601	-13.0224317
Species_8	-41.4330601	-13.0224317
Species_8	-41.4336066	-13.1030055
Species_8	-41.486612	-13.0663934
Species_8	-41.5848634	-12.9491803
Species_8	-41.6685792	-13.2396175
Species_8	-41.8095628	-13.5827869
Species_8	-41.85	-13.2833333
Species_8	-41.8666667	-13.2833333
Species_8	-41.9336066	-13.5448087
Species_8	-41.95	-13.55
Species_8	-42.35	-16.783
Species_8	-42.4069672	-16.7701913
Species_8	-42.45	-14.316
Species_8	-42.483	-14.116
Species_8	-42.5821585	-16.7637978
Species_8	-42.5894262	-17.5303825
Species_8	-42.6166667	-11.9833333
Species_8	-42.716	-11.083
Species_8	-42.7257377	-16.5339344
Species_8	-42.8378962	-16.544153
Species_8	-42.879235	-16.5586612
Species_8	-42.916	-16.541
Species_8	-42.916	-16.541
Species_8	-42.916	-16.541
Species_8	-42.916	-16.541
Species_8	-43.0139344	-17.523224
Species_8	-43.2780055	-16.4352186
Species_8	-43.3071038	-17.0620219
Species_8	-43.5051913	-14.0877049
Species_8	-43.5051913	-14.0877049
Species_8	-43.617	-18.283
Species_8	-43.617	-18.283
Species_8	-43.8639344	-16.7240427
Species_8	-43.867	-16.75
Species_9	-42.4	-17.983
Species_9	-42.916	-16.541
Species_9	-43.4713115	-18.0693989
Species_9	-43.566	-18.266
Species_9	-43.566	-18.266
Species_9	-43.683	-19.166
Species_9	-43.683	-19.166
Species_9	-43.88333333	-19.6333333
Species_9	-43.88333333	-19.6333333
Species_9	-43.88333333	-19.6333333
Species_9	-43.9	-19.9
Species_9	-43.9	-19.9
Species_9	-43.9	-19.9
Species_9	-43.9	-19.9
Species_9	-44.25	-19.483
Species_9	-44.2620219	-21.1303279
Species_9	-44.3740984	-17.1617486
Species_9	-44.4	-19.283
Species_9	-44.4	-19.283
Species_9	-44.4	-19.283
Species_9	-44.4	-19.283
Species_9	-44.4	-19.283
Species_9	-44.4	-19.283
Species_9	-44.4079235	-19.2811475
Species_9	-44.4079235	-19.2811475
Species_9	-44.45	-18.75
Species_9	-44.4576503	-15.3650273
Species_9	-44.467	-18.367
Species_9	-44.6442623	-21.4833333
Species_9	-44.8	-22.481694
Species_9	-44.867	-15.95
Species_9	-44.867	-15.95
Species_9	-44.983	-21.717
Species_9	-45.25	-21.233
Species_9	-45.767	-21.233
Species_9	-45.867	-23.117
Species_9	-46.1248634	-20.9696721
Species_9	-46.317	-14.05
Species_9	-46.368306	-20.2374317
Species_9	-46.368306	-20.2374317
Species_9	-46.368306	-20.2374317
Species_9	-46.368306	-20.2374317
Species_9	-46.383	-20.867
Species_9	-46.383	-21.933
Species_9	-46.417	-12.267
Species_9	-46.517	-19.5
Species_9	-46.766	-17.3
Species_9	-46.766	-17.3
Species_9	-46.8745902	-16.3259563
Species_9	-47	-15.8
Species_9	-47	-15.8
Species_9	-47.1	-22.9
Species_9	-47.116	-22.183
Species_9	-47.146694	-22.2656284
Species_9	-47.146694	-22.2656284
Species_9	-47.2601093	-23.5327869
Species_9	-47.417	-21.983
Species_9	-47.483	-20.25
Species_9	-47.5	-22.0333333
Species_9	-47.5	-13.8
Species_9	-47.517	-14.117
Species_9	-47.616	-16.766
Species_9	-47.616	-16.766
Species_9	-47.6669399	-15.6120219
Species_9	-47.7109836	-21.1875956
Species_9	-47.833	-15.8
Species_9	-47.85	-15.75
Species_9	-47.8666667	-15.8833333
Species_9	-47.8688525	-15.9510929
Species_9	-47.8693989	-15.9513661
Species_9	-47.8693989	-15.9513661
Species_9	-47.903	-15.981
Species_9	-47.903	-15.981
Species_9	-47.9444536	-15.9013661
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-16.267
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-19.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.95	-15.783
Species_9	-47.9538251	-15.8974044
Species_9	-47.9636612	-15.913388
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.931694
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9666667	-15.8
Species_9	-47.9942623	-18.2480874
Species_9	-48	-18.15
Species_9	-48	-15
Species_9	-48.2625683	-18.9013661
Species_9	-48.416	-22.75
Species_9	-48.416	-22.75
Species_9	-48.4595628	-14.4617486
Species_9	-48.672231	-15.207623
Species_9	-48.816	-16.3
Species_9	-48.9147541	-19.2893443
Species_9	-48.917	-20.033
Species_9	-48.967	-15.783
Species_9	-48.967	-15.783
Species_9	-48.967	-16.317
Species_9	-49.417	-19.6
Species_9	-49.8307923	-18.1956831
Species_9	-49.833	-24.133
Species_9	-49.933	-10.567
Species_9	-49.933	-10.567
Species_9	-50.25	-11.5
Species_9	-50.3556011	-16.3278689
Species_9	-50.5481694	-14.8960929
Species_9	-50.8850273	-11.3863388
Species_9	-51.75	-11.283
Species_9	-51.766	-12.816
Species_9	-51.783	-17.2
Species_9	-51.8703552	-17.88786885
Species_9	-51.8703552	-17.8786885
Species_9	-51.8736066	-17.8744536
Species_9	-51.9549454	-17.8277596
Species_9	-51.9549454	-17.8277596
Species_9	-52	-13.5
Species_9	-52.25	-15.85
Species_9	-52.4245082	-14.5228142
Species_9	-52.75	-18.167
Species_9	-52.983	-21.617
Species_9	-53.167	-17.317
Species_9	-53.167	-17.317
Species_9	-54.3	-21.967
Species_9	-54.3	-21.967
Species_9	-55.2	-14.6
Species_9	-55.65	-22.45
Species_9	-55.8	-23.2666667
Species_9	-55.8	-23.2666667
Species_9	-55.804	-15.29
Species_9	-55.804	-15.29
Species_9	-55.804	-15.29
Species_9	-55.804	-15.29
Species_9	-55.867	-16.233
Species_9	-55.867	-16.233
Species_9	-55.933	-25.433
Species_9	-55.9833333	-22.6166667
Species_9	-55.9833333	-22.6166667
Species_9	-56.0333333	-24.8
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.083	-15.533
Species_9	-56.133	-15.65
Species_9	-56.13333333	-23.33333333
Species_9	-56.166	-24.916
Species_9	-56.3	-14.416
Species_9	-57.683	-16.067
Species_9	-57.86861111	-19.18444444
Species_9	-58.85	-17.98333333
Species_9	-60.166	-12.75
Species_9	-60.166	-12.75
Species_9	-60.36666667	-14.8
Species_9	-60.3666667	-18.2166667
Species_9	-60.38611111	-14.82666667
Species_9	-60.38722222	-14.80472222
Species_9	-60.39277778	-14.80305556
Species_9	-60.39277778	-14.80305556
Species_9	-60.71666667	-13.98333333
Species_9	-60.76138889	-14.55833333
Species_9	-60.81444444	-13.90611111
Species_9	-61.05	-18.31666667
Species_9	-62.08333333	-16.25
Species_10	-47.95	-15.783
Species_10	-57.64	-19
Species_11	-39.3	-14.73
Species_11	-39.533	-7.266
Species_11	-39.666	-16.716
Species_11	-40.066	-19.366
Species_11	-40.066	-19.366
Species_11	-40.066	-19.366
Species_11	-40.066	-19.366
Species_11	-40.066	-19.366
Species_11	-40.4	-18.7166667
Species_11	-40.5071038	-20.6461749
Species_11	-40.55	-19.5
Species_11	-41.4	-20.4
Species_11	-41.666	-22.25
Species_11	-41.666	-22.25
Species_11	-41.8	-22.35
Species_11	-42.016	-20.716
Species_11	-42.05	-22.85
Species_11	-42.05	-22.85
Species_11	-42.383	-22.65
Species_11	-42.5	-21.416
Species_11	-42.65	-9
Species_11	-42.75	-22.367
Species_11	-42.817	-22.917
Species_11	-42.883	-20.75
Species_11	-42.883	-20.75
Species_11	-42.983	-22.45
Species_11	-43.2	-22.967
Species_11	-43.2	-22.967
Species_11	-43.2	-22.967
Species_11	-43.2	-22.983
Species_11	-43.2	-22.983
Species_11	-43.217	-22.967
Species_11	-43.217	-22.967
Species_11	-43.233	-22.983
Species_11	-43.283	-22.883
Species_11	-43.283	-22.883
Species_11	-43.283	-22.883
Species_11	-43.333	-21.75
Species_11	-43.3580556	-22.9427778
Species_11	-43.3580556	-22.9427778
Species_11	-43.3580556	-22.9427778
Species_11	-43.3580556	-22.9427778
Species_11	-43.3580556	-22.9427778
Species_11	-43.3580556	-22.9427778
Species_11	-43.3580556	-22.9427778
Species_11	-43.3580556	-22.9427778
Species_11	-43.383	-20.383
Species_11	-43.53	-21.63
Species_11	-43.533	-22.65
Species_11	-43.683	-19.166
Species_11	-43.683	-19.166
Species_11	-43.8833333	-19.6333333
Species_11	-43.8833333	-19.6333333
Species_11	-43.8833333	-19.6333333
Species_11	-43.8901639	-19.6273224
Species_11	-43.9	-19.9
Species_11	-43.9	-19.9
Species_11	-43.9	-19.9
Species_11	-43.9	-19.9
Species_11	-43.9	-19.9
Species_11	-44.233	-22.883
Species_11	-44.585	-22.659
Species_11	-44.633	-22.466
Species_11	-44.667	-22.717
Species_11	-44.983	-21.25
Species_11	-44.983	-21.25
Species_11	-45.017	-21.9
Species_11	-45.017	-21.9
Species_11	-45.417	-22.4
Species_11	-46	-23.583
Species_11	-46.317	-21.6
Species_11	-46.383	-21.933
Species_11	-46.383	-21.933
Species_11	-46.833333	-22.8666667
Species_11	-47.1	-22.9
Species_11	-47.1	-22.9
Species_11	-47.1	-22.9
Species_11	-47.1	-21.75
Species_11	-47.654	-22.553
Species_11	-47.707377	-15.4256831
Species_11	-47.8	-15.85
Species_11	-47.8180328	-15.6286885
Species_11	-47.847541	-15.8300546
Species_11	-47.883	-24.783
Species_11	-47.883	-24.783
Species_11	-47.883	-24.783
Species_11	-47.95	-15.783
Species_11	-47.95	-15.783
Species_11	-47.95	-15.783
Species_11	-47.95	-15.783
Species_11	-47.983	-15.666
Species_11	-47.983	-15.666
Species_11	-47.983	-15.666
Species_11	-47.988	-22.71
Species_11	-48.416	-22.75
Species_11	-48.5	-25.5166667
Species_11	-48.5087432	-25.515847
Species_11	-48.633	-25.883
Species_11	-48.683	-22.067
Species_11	-48.8166667	-25.46666667
Species_11	-48.8166667	-25.4666667
Species_11	-49.233	-25.283
Species_11	-49.383	-24.1
Species_11	-49.733	-24.25
Species_11	-50.917	-22.217
Species_11	-51.15	-22.75
Species_11	-52.4	-24.017
Species_11	-52.417	-22.583
Species_11	-52.517	-23.7
Species_11	-53.0601093	-22.5699454
Species_11	-54.057377	-23.5505464
Species_11	-54.35	-24.05
Species_11	-55.267	-23.05
Species_11	-55.5	-24.083
Species_11	-55.75	-20.45
Species_11	-55.966	-24.583
Species_11	-55.9833333	-22.6166667
Species_11	-55.9833333	-22.6166667
Species_11	-56.05	-22.65
Species_11	-56.0666667	-23.4833333
Species_11	-56.1333333	-23.3333333
Species_11	-56.8333333	-22.3166667
Species_11	-56.8333333	-22.3166667
Species_11	-57.533	-22.616
Species_11	-57.64	-19
Species_11	-57.64	-19
Species_11	-57.65	-19.016
Species_11	-58.0166667	-24.1666667
Species_11	-58.0333333	-22.1
Species_11	-60.75	-17.0833333
Species_11	-61.7833333	-17.0683333
Species_11	-67.58333333	-15.91666667
Species_11	-37.6167	-11.8167
Species_11	-37.7213115	-12.057322
Species_11	-39.0032787	-13.0333333
Species_11	-39.0240437	-14.9352459
Species_11	-39.0642077	-16.4396175
Species_11	-39.0696721	-15.2688525
Species_11	-43.2101093	-22.8054645
Species_11	-43.8172131	-22.9139344
Species_12	-74.0297814	5.0442623
Species_12	-74.183	4.25
Species_12	-74.183	4.25
Species_12	-74.805	-8.475
Species_12	-75.055	-6.746
Species_12	-75.628	5.618
Species_12	-75.667	4.432
Species_12	-75.696	4.813
Species_12	-75.696	4.813
Species_12	-75.696	4.813
Species_12	-76.247	6.804
Species_12	-76.433	6.35
Species_12	-76.439	7.247
Species_12	-76.5	7.333
Species_12	-76.8256831	5.31038251
Species_12	-77.083	3.983
Species_12	-77.133	3.933
Species_12	-77.166	6.083
Species_12	-77.2	3.916
Species_12	-77.2	3.916
Species_12	-77.2	3.916
Species_12	-77.2	3.916
Species_12	-77.216	6.1
Species_12	-77.283	8.183
Species_12	-77.339	3.425
Species_12	-77.35	6.266
Species_12	-77.366	4.95
Species_12	-77.381	4.359
Species_12	-77.416	4.25
Species_12	-77.433	4.3
Species_12	-77.533	3.08
Species_12	-77.633	7
Species_12	-77.633	7
Species_12	-77.716	8.133
Species_12	-77.716	7.933
Species_12	-77.966	7.3
Species_12	-78.76	1.558
Species_12	-78.815	1.798
Species_12	-78.815	1.798
Species_12	-78.815	1.798
Species_12	-78.815	1.798
Species_12	-78.815	1.798
Species_12	-78.815	1.798
Species_12	-78.8369444	1.2883333
Species_12	-78.883	-5.416
Species_12	-78.9888889	1.0883333
Species_12	-79.01666667	1.166666667
Species_12	-79.1333333	-1.9333333
Species_12	-79.1833333	-1.7666667
Species_12	-79.366	-0.583
Species_12	-79.366	-0.35
Species_12	-79.366	-0.583
Species_12	-79.366	-0.583
Species_12	-79.36666667	0.233333333
Species_12	-79.45	-0.983333333
Species_12	-79.48333333	-0.9
Species_12	-79.616	0.9
Species_12	-79.6666667	-2.6833333
Species_12	-79.733	0.35
Species_12	-79.75	9.2166
Species_12	-79.8	-1.8666667
Species_12	-79.8166667	-3.3333333
Species_12	-79.8166667	-2.9166667
Species_12	-79.85	0.616
Species_12	-79.916	8.683
Species_12	-79.9166667	-3.6333333
Species_12	-80.033	0.783
Species_12	-80.133	8.6
Species_12	-80.133	-2.166
Species_12	-80.266	8.4
Species_12	-80.4666	8.7833
Species_12	-80.55	8.816
Species_12	-80.6	8.6333
Species_12	-80.7	-1.6
Species_12	-80.75	-1.666
Species_12	-83.8	11.0333
Species_12	-84.9958	10.6111
Species_12	-85.3938	10.8697
Species_12	-85.4	12.3
Species_12	-85.4277	10.9905
Species_12	-85.4833	10.8333
Species_12	-85.583	9.9708
Species_12	-85.6166	13.5
Species_12	-85.7333	13.0666
Species_12	-88.95	16.26666667
Species_12	-89.1361	16.3894
Species_12	-89.9333	13.8166
Species_12	-92.266	15.766
Species_12	-92.4561	18.4719
Species_12	-92.633	15.35
Species_12	-92.716	15.916
Species_12	-93.066	17.516
Species_12	-94.075	16.466
Species_12	-94.616	16.566
Species_12	-94.633	17.783
Species_12	-95	18.383
Species_12	-95.016	16.433
Species_12	-95.083	18.416
Species_12	-95.166	18.3833
Species_12	-95.1666	18.4666
Species_12	-95.216	18.45
Species_12	-95.216	18.45
Species_12	-95.216	18.45
Species_12	-95.216	18.45
Species_12	-95.216	18.45
Species_12	-95.216	18.45
Species_12	-95.666	18.5666
Species_12	-97	18.9
Species_13	-50.5	-0.25
Species_13	-54.433	-0.916
Species_13	-54.9166667	5.3833333
Species_13	-55.833	-1.75
Species_13	-58.65	4.65
Species_13	-58.666	4.666
Species_13	-58.75	5.35
Species_13	-58.75	5.35
Species_13	-59.516	3
Species_13	-59.7	6.783
Species_13	-59.733	6.783
Species_13	-61.083	7.083
Species_13	-61.133	7.416
Species_13	-61.433	3.4
Species_13	-61.75	8.416
Species_13	-61.916	8.583
Species_13	-62.25	4.75
Species_13	-62.587	5.365
Species_13	-63.15	4.666
Species_13	-63.31	5.45
Species_13	-63.4	4.966
Species_13	-63.453	5.084
Species_13	-63.516	5.083
Species_13	-63.75	6.35
Species_13	-64.016	4.733
Species_13	-64.016	4.733
Species_13	-64.15	4.266
Species_13	-64.183	8.016
Species_13	-64.2	4.233
Species_13	-64.2	4.233
Species_13	-64.25	4.45
Species_13	-64.416	6.25
Species_13	-64.416	6.25
Species_13	-64.45	6.266
Species_13	-64.883	7.633
Species_13	-64.916	7
Species_13	-65.083	6.25
Species_13	-65.183	7.333
Species_13	-65.233	2.8
Species_13	-65.55	3.1667
Species_13	-65.833	3.15
Species_13	-66.016	4.05
Species_13	-66.05	5.683
Species_13	-66.083	5.25
Species_13	-66.083	1.916
Species_13	-66.166	5.583
Species_13	-66.172	7.646
Species_13	-66.3167	2.6333
Species_13	-66.366	6.366
Species_13	-66.416	1.166
Species_13	-66.4833	2.1167
Species_13	-66.4833	2.1167
Species_13	-66.85	7.25
Species_13	-66.8667	1.2333
Species_13	-66.975	1.983
Species_13	-67	-0.183
Species_13	-67	2.016
Species_13	-67.033	3.9667
Species_13	-67.04	3.947
Species_13	-67.05	1.933
Species_13	-67.05	1.933
Species_13	-67.05	1.933
Species_13	-67.05	1.933
Species_13	-67.0667	1.9167
Species_13	-67.0667	1.9167
Species_13	-67.2	5.633
Species_13	-67.25	5.583
Species_13	-67.266	1.783
Species_13	-67.416	6.416
Species_13	-67.416	6.416
Species_13	-67.416	6.416
Species_13	-67.416	6.416
Species_13	-67.453	6.205
Species_13	-67.666	4.016
Species_13	-67.7	4.0486
Species_13	-67.8	5.25
Species_13	-67.816	6.966
Species_13	-67.915	3.903
Species_13	-69.6	6.883
Species_13	-69.666	6.783
Species_13	-69.8	0.6
Species_13	-69.94	-4.215
Species_13	-69.9405556	-4.2152778
Species_13	-70.163	1.198
Species_13	-70.163	1.198
Species_13	-70.353	4.245
Species_13	-70.584	-3.821
Species_13	-70.729	7.247
Species_13	-70.817	8.239
Species_13	-70.817	8.239
Species_13	-70.8278689	0.906830601
Species_13	-70.883	-5.25
Species_13	-71.283	7.483
Species_13	-71.2838	7.3483
Species_13	-71.335	0.166
Species_13	-71.724	9.382
Species_13	-71.833	-1.417
Species_13	-71.918	7.277
Species_13	-72.333	-0.416
Species_13	-72.833	-3.466
Species_13	-72.833	-3.466
Species_13	-73.25	-3.583
Species_13	-73.333	-3.75
Species_13	-73.583	-4.483
Species_13	-73.6	9.367
Species_13	-73.606	9.366
Species_13	-73.75	-4.833
Species_13	-73.798	2.188
Species_13	-73.841	-2.392
Species_13	-73.853	2.21
Species_13	-73.853	2.21
Species_13	-73.889	7.028
Species_13	-74.166	10.65
Species_13	-74.406	6.494
Species_13	-74.5	-4.533
Species_13	-74.5	-4.533
Species_13	-74.5666667	-8.35
Species_13	-74.628	9.368
Species_13	-74.755	10.746
Species_13	-74.793	9.18
Species_13	-74.844	1.357
Species_13	-75.041	8.943
Species_13	-75.3	10.166
Species_13	-75.725	1.487
Species_13	-75.733	7.733
Species_13	-75.86666667	-0.116666667
Species_13	-75.896	8.86
Species_13	-75.9	-0.266
Species_13	-75.933	-0.233
Species_13	-76.083	-5.9
Species_13	-76.166	-0.55
Species_13	-76.166	0.9
Species_13	-76.183	-0.016
Species_13	-76.4	-2.9
Species_13	-76.4	-2.9
Species_13	-76.4	-2.9
Species_13	-76.483	-0.25
Species_13	-76.512	-8.184
Species_13	-76.633	5.533
Species_13	-76.659	-8.011
Species_13	-76.659	-8.011
Species_13	-76.731	8.098
Species_13	-76.731	8.098
Species_13	-76.892	6.557
Species_13	-76.964	6.523
Species_13	-76.964	6.523
Species_13	-77.116	7.45
Species_13	-77.118	7.44
Species_13	-77.118	7.44
Species_13	-77.118	7.44
Species_13	-77.166	4.166
Species_13	-77.166	4.166
Species_13	-77.18	7.817
Species_13	-77.2	7.15
Species_13	-77.2	7.15
Species_13	-77.2	7.15
Species_13	-77.2	7.15
Species_13	-77.366	3.166
Species_13	-77.466	8.666
Species_13	-77.7	-3.916
Species_13	-77.716	8.133
Species_13	-77.716	8.133
Species_13	-77.716	8.133
Species_13	-77.971	2.444
